UniprotID,manifest_order_index,base_completed,assigned_shard,assigned_gpu,assignment_reason
Q9D3W4,4401,false,3,3,remaining_order_4331_mod_4
Q9D850,4402,false,0,0,remaining_order_4332_mod_4
Q9DBC0,4403,false,1,1,remaining_order_4333_mod_4
Q9DBT5,4404,false,2,2,remaining_order_4334_mod_4
Q9DG45,4405,false,3,3,remaining_order_4335_mod_4
Q9DG67,4406,false,0,0,remaining_order_4336_mod_4
Q9DHU2,4407,false,1,1,remaining_order_4337_mod_4
Q9DR81,4408,false,2,2,remaining_order_4338_mod_4
Q9E6L8,4409,false,3,3,remaining_order_4339_mod_4
Q9E6M6,4410,false,0,0,remaining_order_4340_mod_4
Q9E6P5,4411,false,1,1,remaining_order_4341_mod_4
Q9E6Q4,4412,false,2,2,remaining_order_4342_mod_4
Q9EMI7,4413,false,3,3,remaining_order_4343_mod_4
Q9EQQ0,4414,false,0,0,remaining_order_4344_mod_4
Q9ER88,4415,false,1,1,remaining_order_4345_mod_4
Q9EVE0,4416,false,2,2,remaining_order_4346_mod_4
Q9EVG2,4417,false,3,3,remaining_order_4347_mod_4
Q9EVG3,4418,false,0,0,remaining_order_4348_mod_4
Q9EVG9,4419,false,1,1,remaining_order_4349_mod_4
Q9EVH4,4420,false,2,2,remaining_order_4350_mod_4
Q9EVH6,4421,false,3,3,remaining_order_4351_mod_4
Q9EVH7,4422,false,0,0,remaining_order_4352_mod_4
Q9EVI3,4423,false,1,1,remaining_order_4353_mod_4
Q9EVI4,4424,false,2,2,remaining_order_4354_mod_4
Q9EVI6,4425,false,3,3,remaining_order_4355_mod_4
Q9EVI8,4426,false,0,0,remaining_order_4356_mod_4
Q9F2V6,4427,false,1,1,remaining_order_4357_mod_4
Q9F7D7,4428,false,2,2,remaining_order_4358_mod_4
Q9F7D8,4429,false,3,3,remaining_order_4359_mod_4
Q9F7E3,4430,false,0,0,remaining_order_4360_mod_4
Q9F7E4,4431,false,1,1,remaining_order_4361_mod_4
